Date,Product,Category,Quantity,Sales
2026-09-01,Laptop,Electronics,1,45000
2026-09-02,Mouse,Electronics,3,1800
2026-09-03,Notebook,Stationery,5,750
2026-09-04,Keyboard,Electronics,2,3000
2026-09-05,Pen Set,Stationery,4,600
2026-09-06,Headphones,Electronics,2,4000
2026-09-07,Backpack,Accessories,2,2400
2026-09-08,Water Bottle,Accessories,3,1500
2026-09-09,Desk Lamp,Home,2,2200
2026-09-10,Chair,Home,1,6500
2026-09-11,USB Cable,Electronics,4,1200
2026-09-12,Diary,Stationery,3,900
2026-09-13,Power Bank,Electronics,2,3600
2026-09-14,Calculator,Stationery,2,1000
2026-09-15,Desk Organizer,Home,2,1600
